gtap_code,china,canada,mexico,uk,japan,eu,row,ftrow
pdr,30,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
wht,30,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
gro,30,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
v_f,30,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
osd,30,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
c_b,30,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
pfb,30,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
ocr,30,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
ctl,30,0.016317419999998806,0.007228924999999609,10,15,15,26.262,12.907000000000002
oap,30,0.016317419999998806,0.007228924999999609,10,15,15,26.262,12.907000000000002
wol,30,0.13104283500000036,0.7789229749999987,10,15,15,26.262,12.907000000000002
frs,19.794301550191324,5.068278320359611,0.7863059575647214,0,0,2.6598323669842676,25.387410377907145,8.61423299228624
fsh,30,0.01789220999999952,0,10,15,15,26.262,12.907000000000002
coa,20,0.07028323999999976,9.293114175,0,0,0,0,0
oil,20,0.07028323999999976,9.293114175,0,0,0,0,0
gas,20,0.07028323999999976,9.293114175,0,0,0,0,0
oxt,20,0.37368657000000033,0.03453112500000077,0,0,0,0,0
cmt,30,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
omt,30,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
vol,30,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
mil,30,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
pcr,30,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
sgr,30,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
ofd,30,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
b_t,30,1.3097253750000015,1.4059142999999996,10,15,15,26.262,12.907000000000002
tex,30,32.437240499999994,22.26548525,10,15,15,26.262,12.907000000000002
wap,30,9.744429519999997,0.8287916000000006,10,15,15,26.262,12.907000000000002
lea,30,1.9334552650000014,0.3865607250000014,10,15,15,26.262,12.907000000000002
lum,29.720848544244593,4.662972217859599,0.357341037538057,10,13.834737878536632,13.236112925628015,25.00183563206504,12.435510412037559
ppp,30,0.4355914850000014,2.6294057250000002,10,15,15,26.262,12.907000000000002
p_c,20,0.29265893000000043,6.8038958749999985,0,0,0,0,0
chm,30,0.9366601300000015,1.175587724999999,10,15,15,26.262,12.907000000000002
bph,20,0.9366601300000015,1.175587724999999,0,0,0,0,0
rpp,29.948743114484667,0.7646127816381166,2.278802721533866,10.300952546365602,15.145214627622341,15.142832518079915,26.246848223841372,12.983056336875972
nmm,29.960225609277945,0.8072407651411633,1.4385828120901198,10.092102839874174,15.134790818741989,15.01841859639694,26.23003769047233,13.773870710910616
i_s,14.422867790516591,0.6174162621799446,2.6025101620358693,1.8964518668198982,1.2277155720973632,3.3276812957782327,27.133849263475245,13.610660796703367
nfm,27.78284614584838,25.06322111801886,5.001117844184447,5.458008285065,13.103240007141123,19.550506037813697,32.879826160971504,16.41672777679385
fmp,41.89468600294857,34.68051597238165,32.00364744679695,16.883315758430456,29.895875980662733,32.285220444871705,40.36037485957279,33.858057687696494
ele,23.23827816562445,5.496904669381862,1.9873333203446575,8.224765611704044,6.782194219376948,11.219270445218122,30.17680380806562,18.43320484961141
eeq,30.142940632806575,14.740157668422185,12.275738312640572,16.649747048277337,23.109619746543,21.246764640874552,28.402169641011515,19.207588358865372
ome,33.91599309341843,12.064956267690603,17.362342068729525,12.953580163794271,19.439270317174007,19.658424108446425,29.510269327886597,20.456318180238224
mvh,17.563024453733593,13.804798250491976,14.974387607747735,23.123625764983245,21.479538493390457,20.950835749468904,23.92424457598032,23.092767432492465
otn,34.18699808825737,7.171822168500694,21.965125593646828,14.802797039471432,26.70489864687578,20.42645918833757,29.840087362895453,30.282970155222245
omf,32.945558534880064,35.77270364476465,30.63029127764829,11.132312706377233,17.369951163757985,16.63692959131018,27.752825943926528,14.014516387272618
ely,20,10,25,0,0,0,25.662000000000003,8.607
