gtap_code,china,canada,mexico,uk,japan,eu,row,ftrow
pdr,20,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
wht,20,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
gro,20,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
v_f,20,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
osd,20,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
c_b,20,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
pfb,20,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
ocr,20,0.016168250000001546,0.0078059749999997985,10,15,15,26.262,12.907000000000002
ctl,20,0.016317419999998806,0.007228924999999609,10,15,15,26.262,12.907000000000002
oap,20,0.016317419999998806,0.007228924999999609,10,15,15,26.262,12.907000000000002
wol,20,0.13104283500000036,0.7789229749999987,10,15,15,26.262,12.907000000000002
frs,10,5.068278320359611,0.7863059575647214,0,0,2.6598323669842676,25.3873974448607,8.61423299228624
fsh,20,0.01789220999999952,0,10,15,15,26.262,12.907000000000002
coa,10,0.07028323999999976,9.293114175,0,0,0,0,0
oil,10,0.07028323999999976,9.293114175,0,0,0,0,0
gas,10,0.07028323999999976,9.293114175,0,0,0,0,0
oxt,10,0.37368657000000033,0.03453112500000077,0,0,0,0,0
cmt,20,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
omt,20,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
vol,20,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
mil,20,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
pcr,20,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
sgr,20,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
ofd,20,0.9290129799999991,0.13673027499999935,10,15,15,26.262,12.907000000000002
b_t,20,1.3097253750000015,1.4059142999999996,10,15,15,26.262,12.907000000000002
tex,20,32.437240499999994,22.26548525,10,15,15,26.262,12.907000000000002
wap,20,9.744429519999997,0.8287916000000006,10,15,15,26.262,12.907000000000002
lea,20,1.9334552650000014,0.3865607250000014,10,15,15,26.262,12.907000000000002
lum,19.860264877337432,4.662977307061462,0.357341037538057,10,13.834737878536632,13.236190667949682,24.999598375242847,12.435494894017385
ppp,20,0.4355914850000014,2.6294057250000002,10,15,15,26.262,12.907000000000002
p_c,10,0.29265893000000043,6.8038958749999985,0,0,0,0,0
chm,20,0.9366601300000015,1.175587724999999,10,15,15,26.262,12.907000000000002
bph,10,0.9366601300000015,1.175587724999999,0,0,0,0,0
rpp,20.047988887148094,2.863246300156862,4.102215021387817,10.618244420182288,18.2848017107661,16.954697063450823,25.500510066081805,15.303723802970792
nmm,20.064462305287307,0.7736322324043924,0.8053377249999993,10.14593449743563,15.348229730862814,15.031479550931845,26.239873336414,14.042689068637099
i_s,14.523342039617718,0.6030378865701562,2.6027245763136024,1.8705327487452263,1.1805646816269288,3.244393890216455,27.09694686086172,13.638840390030401
nfm,27.93233800629149,25.063092014394613,5.006967358960532,4.910431638627445,12.437681050773547,19.548453438075157,32.16289928871646,16.237454998865054
fmp,38.92462017446292,35.82677694909368,33.87292536943852,17.36494739793466,30.588643025391605,33.06739053460835,40.678825098772755,34.090133962396315
ele,15.743372669809657,4.057056047886749,8.960931940884258,9.456745853069089,6.765704298878422,11.532221373883464,25.8216604835065,10.497998841670915
eeq,24.38314067079603,11.700755456816319,8.01052177088238,15.994319455713537,20.216429256260476,19.50201980724197,27.787733859986574,19.132160541516523
ome,24.560856507188305,9.42171310728721,15.328523430291074,12.781615989109657,19.386823376333304,18.721309665632983,28.82108652308976,19.811732909027096
mvh,17.260422384954875,13.605991898265515,14.668547004569078,23.266114971173373,22.739834128503066,22.34162468453346,24.924272839845216,23.376245999817264
otn,20.181772604342974,4.1145887806465815,8.195223839480716,11.875705950975632,15.565250699524405,16.259658828617386,27.200786466621686,18.578900440541435
omf,24.23499445707368,34.16403790027759,23.943862170166348,10.9850405085792,15.75454143950355,16.07436489828937,27.382551442609376,13.444421624077746
ely,10,10,25,0,0,0,25.662000000000003,8.607
